en_clean,ar_clean
you always wanted to stay home for the kids,بس انتي دايما كنتي بتحبي تعملي كل حاجة بايدك في البيت للولاد وكدا
surely youll need help now,دلوقتي اكيد هتبقي محتاجة حد يساعدك
should i get you a maid,تحبي اشوفلك حد يساعدك؟
you dont get it,انت مش فاهم حاجة
have i ever complained,انا اشتكيتلك؟
i like the new look,حلو ال ده
thanks,متشكر
well ill see you tomorrow at 10 for salims first session,اشوفك بكرة الساعة عند شريف اول جلسه لـسليم
at 10 sharp,بالمللي
okay,حاضر
dont forget,متنساش
and dont be late,ومتتاخرش
fine,ماشي
you know what,ولا اقولك؟
ill come tonight,انا جاية النهاردة بليل
i need a plan,محتاجة خطة
is something wrong,خير في حاجة؟
hi darlings,هاي، حبايبي
ive missed you,وحشتوني
have you had a good day,يومكوا كان حلو؟
what are you looking for salim,ايه يا سليم، بتدور علي ايه يا حبيبي؟
wait,لا سليم سليم
we agreed to cut down on this,احنا اتفقنا اننا هنقلل البتاعة دي
please,عشان خاطري
just this game,عشان خاطري، الجيم ده بس
okay,حاضر
mom,مامي؟
did you see dad today,هو انتي قابلتي بابي النهاردة؟
yes i saw your dad today and everything went well everything went smoothly and there were no issues,اه، قابلت بابي النهاردة وكله كان حلو اوي ومشي اوي واتفقنا علي كل حاجة
he sends you his love and says to call him,وبيبوسك وبيقولك كلميني بقي
im not asking about him,انا مبسالكيش عن اخباره
i just want to know if youre okay,انا بس عايزة اعرف انتي كويسة ولا لا؟
im more than fine,انا كويسة جدا
im the mother here and im absolutely fine,وبعدين انا مامتك مش انتي وبقولك انا كويسة
im not lying,لا مش بكدب
im just being a little proactive here,انا بس بستبق الاحداث شوية
ill be fine for sure,ما انا هبقي كويسة اكيد
by the way youll start taking the school but,طيب علي فكرة، انا غالبا هشتركلكوا في الباص، ها؟
ill be working soon and i cant drop you at school,عشان انا هشتغل قريب، مش هعرف اوصلكوا كل يوم واجي اخدكوا
work,تشتغلي؟
what kind of work,تشتغلي ايه؟
i dont know,مش عارفة
how come,ايه قلة المزاج دي
how can i travel with you guys,طب وانا هروح معاكوا ازاي يعني؟
zeina i dont remember giving birth to you,زينة حبيبتي هو انا كنت خلفتك ونسيتك؟
ask your dad to send you on the bus as well,ما تسالي ابوكي معرفش خليه يشتركلك في الباص انتي كمان
when you find a job grandma will stay in my room,وطبعا لما تشتغلي، تيتة هتيجي تقعد في اوضتي
im supposed to tolerate her loud tv and the smell of her cooking,والمطلوب مني اني اتعود بقي علي صوت التليفزيون العالي وريحة السمنة اللي هي بتطبخ بيها
mom this is not good,مامي، بجد مينفعش كدا
enough,خلاص بقي
didnt i tell you,مش انا قولتلك
my mom died and yours got divorced in the end well be miserable,مامتي تموت، مامتك تتطلق، النتيجة واحدة، هنتمرمط
i heard you zeina,سمعتك يا زينة
shukreyya does it differently,ده شكرية بتعمله بطريقة تانية خالص
we keep watching these programs and in the end we cook meatballs,المهم بقي نقعد نتفرج علي البرامج دي وفي الاخر بردو هنعمل كفتة ومكرونة
the flour thickens the stew i toast the flour with butter,وهنا عندنا الدقيق اللي هيتخن الشوربة، بحب دايما احمص الدقيق مع الزبدة
zeina,زينة
you should know youre not allowed to open someone elses fridge,حبيبتي هو محدش قالك انك ميصحش تفتحي التلاجة في بيت حد؟
no grandma i dont know,لا يا تيتة سهير، محدش قالي
my late mother couldnt educate me,مامي الله يرحمها ملحقتش تربيني
meat,لحمة؟
what did you say,ايه يا روحي بتقولي ايه؟
were happy to have you,بقول منورانا يا تيتة
thank you,ميرسي يا قلبي
get used to me ill be here for a while,اتعودي بقي علي نوري عشان انا قاعدة شوية علي قلبكوا
its you i dont get,والله ما فهماكي انتي بالذات
look ola,بقولك يا علا
did you see hisham,قابلتي هشام؟
how is he,شكله عامل ازاي؟
im sure he looked awful,اكيد طبعا هفتان ومتبهدل
not at all,لا مش هفتان خالص
he looks younger and more handsome,ده رادد ومحلو وشكله اصغر
oh god are you serious,يا نهار اسود بتتكلمي جد؟
surely hes with someone else,اقطع دراعي ان ما كان في واحدة تانية
i feel for you,قلبي عليكي يا بنتي
remarry,هيتجوز؟
after all these years,بعد العمر ده كله معاكي؟
youre the mother of his children,ده انتي ام عياله
and hell have the kids deal with a nasty stepmother,وكمان هيجيب للعيال مرات اب تتحكم فيهم وتبهدلهم
oh babies,يا عيني
i just want to know why,انا بس عايزة اعرف كل ده كان ليه؟
i dont want to know and i dont care,انا مش فارقلي اعرف خلاص بقي يا ماما خلاص، انا بجد مش فارقلي ليه
honestly he was decent and hell cover the kids expenses even the extras,وبعدين هو الصراحة كان متحضر ومحترم وهيتكلف بمصاريف العيال كلهم حتي ال
what about us,طب واحنا؟
what about us,احنا ايه؟
what,احنا ايه؟
wholl cover our expenses,مين اللي هيصرف علينا؟
us,علينا؟
yes,اه
you have your pension and hazem sends you monthly money from dubai,انتي عندك معاشك يا ماما وحازم بيبعتلك فلوس كل شهر من دبي
as for me ill get a job,انا بقي انا هصرف علي نفسي
i have a plan,انا عندي خطة
here we go,وبعدين بقي
if you work youll need me here to take care of the house and the kids,وبعدين انتي لما تشتغلي، ما انتي هتحتاجيني قاعدة معاكي علي طول عشان اراعي البيت وعيالك
mom im unsure if staying with us is a good idea,انا مش متاكدة يا ماما اذا كانت فكرة حلوة ان انتي تقعدي معانا علي طول
were happy to have you,منورانا يا ماما
how could i manage if i didnt have you,انا هاخد بالي من العيال ازاي لو انتي مش معايا؟
especially if im working,وهشتغل وكدا طبعا
mom dad is calling,مامي، بابي بيتصل
thank you doc,الفين سلامة يا دكتور، الف شكر
may god be with you,ربنا يكون في عونك
i understand,انا عذرك والله
dont worry,متقلقش
you can rely on me,انا عينك وودانك هنا
you can go now,اتكل علي الله انت
how are you,عامل ايه؟
fine,الحمد لله
i want to ride it,انا عايز اسوق
what,تسوق ايه؟
youre mom will kill me,انت عايز امك تموتني
i want to ride,لا، انا عايز اسوق
put your foot here,بص حط رجلك هنا بقي كدا
come on you cant reach the pedal,بس انت رجلك مش هتوصل اصلا
i can reach it,لا علي فكرة اهو
ill always find a way to see you,انتي فاكرة يعني لما تطنشيني، مش هعرف اجي اشوفك؟
i miss you,وحشتيني
lets eat out,بفكر نروح ناكل مع بعض في حتة
what do you think,ايه رايكم؟
no,لا، مينفعش
grandma cooked for us and she wont be happy,تيتة طبخة النهاردة ومش هتخلينا ناكل برة
we cant all fit on the bike,وبعدين ده ياخدك لوحدك ميخودناش كلنا
fine smartypants,ماشي يا لمضة
youll be staying with me next weekend,خلاص اعملوا حسابكوا هتباتوا عندي في الويك اند الجاي
are our rooms ready,اوضنا جاهزة؟
really does he have rooms for you already,لحق يجهزلكوا الاوض؟
nice,حلو
its the first time we wont sleep under the same roof,اول مرة يا نونو منبتش مع بعض في نفس البيت
very well,حلو حلو
black or beige,اسود ولا ولا بيج؟
are you sure thats what you want mom,مامي، انتي متاكدة انك عايزة تحطي نفسك في الموقف ده؟
i wont let him take my friends too,ما انا مش هسيبله صحابي كمان
no one bothered to call,محدش فيهم سال عليكي ولا حتي عبرك
youll learn to forgive when you get older,لما تكبري هتتعلمي تعذري الناس
maybe they feel awkward,يمكن محرجين
im sure they dont know what to do,اكيد اكيد مش عارفين يتعاملوا بردو
you have to forgive your dad as well,وحتي باباكي لازم تعذريه
youre his daughter not his exwife,عشان انتي بنته، مش مراته ولا طليقته
nadia youre too young to understand but youre perceptive and you get me,نادية انا عارفة ان انتي لسه صغيرة علي الكلام ده بس انتي بردو سابقة سنك انتي فهماني
hisham didnt leave us all,هشام مسبناش كلنا
hisham left me,هشام سابني انا بس
im happy youre teaching him a lesson,اينعم انا مبسوطة ان انتي بتربيه شوية
but dont overdo it okay,بس متطوليش، اوكيه؟
is that olas miracle cream,هو دا ؟
yes,ايوة
the last bit of it,اخر حتة فيه
i didnt have time to buy a gift so ill take the batch i did for them,وبعدين انا ملحقتش اجيبلهم هدية، فا هاخد اخر عملته ليهم
what about doing a new batch and youll be saving zaina and me,ايه رايك تتسلي في ال كدا وبالمرة تنقذيني انا وزينة؟
righ,صح
acne cream,ال
youre right,صح عندك حق
i know ive been slack,انا اسفة، والله انا اتاخرت عليكوا
i wasnt in the mood,بس بجد مكنش ليا مزاج
do i look nice,شكلي حلو؟
really,بجد؟
not too much,مش اوفر؟
tarek this one was made for you,يا طارق، دي معمولالك مخصوص
thank you,تسلم ايديكي
you have to try the chicken,والفراخ دي لازم تجربها
yes,نعمة
the pasta with fish is great,الباستا اللي بالسمك دي حلوة اوي
do you want some,اجيبلك منها؟
great,تحفة
im having a drink,ما انا بشرب
thank you,ميرسي
how youve been,اخبارك ايه؟
i havent seen you for a while,بقالي كتير ما شوفتكيش
your hair grew,شعرك طول
well done,بس برافو عليكي
good for you that you came,برافو عليكي بجد ان انتي جيتي
do you know ola,انت متعرفش علا، صح؟
ola hishams wife,علا مرات هشام اووه
exwife,قصدي كانت مرات هشام
ill get used to it,معلش هتعود
the famous tarek zohni,طارق ذهني غني عن التعريف
an excolleague at the bank,كان زميل قديم في البنك
now hes the best business coach in the middle east,دلوقتي بقي من اشهر في الشرق الاوسط
dwarley zoomi tayara all those startups,دورلي، زوومي، طيارة، كل ال دي
you havent changed one bit,متغيرتيش ابدا ابدا
you love to exaggerate,طول عمرك تحبي تبالغي
a bit,ايوة يعني شوية
they worked with him,كل ال دي اشتغلت معاه
a pleasure ola,اهلا يا علا
the pleasure is mine,اهلا وسهلا
very impressive,والله
we dont see much of him,طب ليه مبنشوفهوش كتير؟
you should invite him more,مبتعزميهوش ليه؟
im based in dubai,انا قاعد في دبي
see,اهو
im here for a short vacation,يدوب جاي اشحن شوية وارجع
i miss my moms food,بصراحة واحشني اكل امي
i do miss her,وحشتني صحيح
send her my regards,ابقي سلملي عليها اوي
come and see her,تعالي شوفيها
how youve been ola,وانتي اخبارك ايه بقي يا علا؟
im fine,انا تمام الحمد لله
the house and the kids,البيت والعيال
nothing new,مفيش جديد
hey there is,لا، في جديد
you told me today that youre planning to work,انتي النهاردة قولتيلي انك هتشتغلي وعندك خطة
true,اه، صح
whats the plan,ايه هي؟
miracle cream,ال
right,صح
yes miracle cream,صح ال
the creams you keep giving us,الكريمات اللي انتي بتجيبهالنا دي
yes,ايوة
will you sell them,هتبعيها؟
yes,اه، هبيعها
its a challenging task,يعني شغلانة مش سهلة يا علا
this business needs your full attention,يعني بيتهيالي عايزة حد شغيل ومتفرغ
and you have your kids,يعني مش بيتلكك بالعيال والظروف
stop,بس
why,ايه اللي بس؟
youre being silly,دمك تقيل
really,ياااه؟
yes silly,دمك تقيل والله
dont mind her,ولا كانك سمعتي حاجة
ignore what she said,تسمعي من هنا تخرج من هنا علي طول
if bill gates had listened to soha before launching microsoft hed be selling hot dogs on the streets of new york,عارفة سها دي لو بيل جيتس كان سمعها قبل ما يعمل مايكروسوفت، كان زمانه بيبيع كبدة وسجق في شوارع نيويورك
you embarrassed her,لازم تحرجيها؟
the food was excellent rana,الاكل يجنن يا رنا
glad you enjoyed it,بالهنا والشفا يا طارق
i only ate cheese,انا مكلتش غير الجبنة
always joking,كل يوم من دا
tell me about your homemade cosmetics,احكيلي عن ال ال بتاعتك
what makes them unique,ايه اللي بيميزها عن السوق؟
do you really want to know,ده بجد عايزني احكي؟
yes,ايوة
okay,اوكيه
i majored in pharmacy,هو انا اصلا صيدلانية في الاساس يعني
i stopped working when i had my first baby,بس لما خلفت بطلت شغل
my daughter had our daughter i mean suffered from rashes and eczema,بنتي بقي كان عندها بنتنا قصدي كان عندها واكزيما وهي صغيرة
we tried everything but nothing worked,وجربنا كل حاجة مفيش حاجة نفعت
i was against using chemicals on my baby daughter,انا كنت بتخض من الك اللي في الادوية ومش عايزة اديها كدا وهي صغيرة
so i tried an ancient egyptian formula we studied at university,فقررت ان انا اعمل وصفة فرعونية كنا درسناها في الجامعة
it worked like magic,نجحت كانت سحر
i started testing and mixing things at home,بقيت بقي بخلط حاجات وبحط حاجات علي حاجات في البيت
and the results were amazing right,وكل مرة النتيجة كانت بتبقي مذهلة، صح؟
yes right,ايوة انا فاكرة
i tried it several times,انا جربتها كذا مرة منها
ive been thinking about it for a long time,انا المشروع ده في بالي من زمان علي فكرة
but then i had salim and i forgot about it,بس خلفت سليم بقي ونسيت
now im ready,دلوقتي انا جاهزة
and im ready to coach you for free,وانا جاهز ا وببلاش
what,ايه؟
we shouldnt waste time,بس انا مبضيعش وقت
youve wasted enough time,كفاية الوقت اللي ضيعتيه
are you serious,لا، بتتكلم بجد؟
it seems like you have a lot of free time,ده انت فاضي بقي
i mean you get interested in small projects quickly,اقصد يعني المشاريع الصغيرة بتهتم بيها بسرعة
projects tend to start small mr hisham,ما هي المشاريع بتبتدي صغيرة دايما يا هشام بيه
my job is to make a small business grow,انا لما الاقي مشروع صغير اكبره
can i have some ice,ممكن تلج؟
yes,اه طبعا
tarek zohni is really something guys,فظيع طارق ذهني يا جماعة
hes charismatic convinced me in three sentences,عنده كاريزما اقنعتني بالمشروع كدا في تلات جمل
youre the special one,والله ما حد فظيع غيرك انتي
two please,اتنين من فضلك
poetic justice at its finest,انها حقا عدالة السماء
thank you,ميرسي
come here sweetie,تعالي يا حبيبي
some doctors prescribe drugs for adhd,في دكاترة بتدي ادوية لحالات ال
im not a fan of that,انا مش مومن بده اوي
were not either,اه، ولا احنا
i mean neither am i,قصدي ولا انا ولا انا
plan b is more complex,هتبقي اصعب شوية
ill increase the sessions ill work on cbt,هكثف جلساتي معاه، وهشتغل علي الـسي بي تي
okay,تمام
what is cbt,ايه هو الـسي بي تي ده؟
he believes that his virtual world is safer than reality,يعني هو شايف ان العالم الافتراضي اللي بيعيشه احسن من الواقع اللي متاح
we need to make him like his reality again,فعشان كدا انا شايف ان احنا محتاجين نرجع نحببه في الواقع من تاني
let him share in your lives and worries,بمعني انكم تشركوه في حياتكوا، مخاوفكوا
being divorced doesnt mean not sharing things with your kids,مش معني انكوا اتطلقتوا انكم تبطلوا تشاركوا ولادكم في حاجات مهمة مع بعض
its too late for that sherif,مش متاخر شوية الكلام ده يا شريف؟
the internet,طب وموضوع الانترنت؟
hes allowed two hours a week,هنقننه، هيبقي ساعتين في الاسبوع
if he gets good grades add an hour,لو ال حلوة هنزود كمان ساعة
and only in the time allowed,وبحاجة متطلعش غير في الوقت المسموح به
ola you must visit him in hishams new house to get to know his new world,وانتي بردو يا علا انا شايف ان انتي محتاجة تروحي تزوريه في بيت هشام الجديد، عشان تتعرفي علي العالم الجديد بتاعه
so he wont think youve left him,عشان ميحسش ان انت كمان هربت
is that okay,عندكوا مانع في حاجة زي كدا؟
i dont mind,انا معنديش اي مانع طبعا
great,هايل
id do anything for my son,لا طبعا انا عشان ابني اعمل اي حاجة
adhd,ايه دي اتش دي
just what i needed,ده اللي كان ناقصني
do you even know what it means,وانتي عارفة هو ايه ده اصلا؟
go,يلا
count carefully,بس عد كويس ها
thank god i dont have kids,الحمد لله اني لا خلفت ولا بفكر اخلف
its an addiction,ادمان مرة واحدة يا حبيبي
i have enough on my plate,هي مش نقصاكي علي فكرة يا نسرين
dont overdo it,متافوريش انتي كمان
hisham is a psychiatrist right,وسي هشام ده ان شاء الله مش بيشتغل دكتور نفساني ولا ايه؟
why didnt he anticipate that,مخدش باله من الواد ليه؟
i dont know,مش عارفة
as a couple we each had our own way,ما هو احنا في البيت ده مكنش في حد مركز مع التاني
hisham was right,هو هشام عنده حق
listen to me,لا بقولك ايه بصيلي هنا
dont you ever give credit to a man,في حياتك ابدا ابدا تقولي ان في راجل عنده حق
understood,فاهمة ولا لا؟
okay,اوكي
anyway i called you for something else,المهم انا مكلمتكيش عشان كدا
i have great news,انا عندي خبر حلو
now youre talking,ايوة كدا
tell me,قوليلي
i decided to sell the creams i make at home,انا قررت ابيع الكريمات اللي بعملها في البيت
ill make it a business,اه اعمل منها
no way,احلفي
well done,ايوة، برافو
thats great news,دي اخبار تفرح
do you have a plan,طب وعندك ؟
not yet,لا، لسه
yesterday i met a tarek zohni at dinner,بس امبارح قابلت واحد في العشا اسمه طارق ذهني
zohni,ذهني
he said hed help me,وقالي ان هو هيساعدني
tarek zohni,طارق ذهني؟
the tarek zohni,طارق ذهني؟
yes,ايوة
how do you know him,ده تعرفيه منين ده ولا ازاي اصلا؟
do you know him,انتي تعرفيه؟
is he good,طب شاطر؟
yes he is,اه طبعا شاطر
im following him on social media,انا عملاله علي كل حاجاته علي ال
his courses are very expensive,بس ازاي ده كورساته غالية فشخ؟
he said hed help me for free,لا غالية ايه؟ ده قالي انه هيساعدني ببلاش
i cant pay him,هو انا حيلتي حاجة
tarek zohni will help you for free,طارق ذهني هيساعدك ببلاش؟
yes,ايوة
hes flirting with you,ده بي بقي
hisham witnessed all that,وهشام كان حاضر كل اللي بيحصل ده وقاعد وشايف؟
i missed an eventful dinner,ده انا فاتني عشا جامد
i wish i was there,يا ريتني كنت معاكي
why would he flirt with me,طارق ذهني ي معايا
what would he see in me,انتي شايف ايه ي معاه؟
youre so stupid,بس يا بت يا هبلة انتي
of course hed flirt with you,اه طبعا، ي ما يش ليه؟
youre beautiful and divorced with kids,ست حلوة، مطلقة، عندها عيال
so youre not looking for marriage,يعني لا هتطلب جواز ولا خلفة ولا نيلة
you just want fun,هتتبسط وبس
why wouldnt he be flirty with you,ما يطلبش بقي ي ليه ولا ميتنيلش ليه؟ ليه؟
listen nesrine,بقولك ايه يا بت يا نسرين
it seems ive lost my sensor completely,انا واضح ان ال بتاعي اتركن لحد ما باظ خالص
i cant tell what he wants,انا مش عارفة احدد هو عايز مني ايه
i was confused yesterday,كنت متلخبطة اوي امبارح
whats the time,الساعة كام؟
ill be late for our first meetings,لا انا كدا هتاخر علي اول ميعاد معاه
i wont have the time to drop salim,انا مش هلحق اوصل سليم
can you drop him,لا، ممكن توصليه انتي؟
no,لا
please,بليز
no,لا
youre so mean,ندلة اوي
listen lulu,بقولك ايه يا لولو
if tarek zohni believes in you and your project ill pitch in with my fortune,لو طارق ذهني ده مقتنع اوي كدا ومومن بقدراتك وبالمشروع بتاعك هحط كل ثروتي واشاركك
are you serious,انتي بتتكلمي جد؟
i swear to god,اه والله العظيم
really,بجد؟
just because you believe in him and not in me,بس عشان مقتنعة بكلامه هو، مش مومنة بقدراتي انا؟
believe in you,قدرات ايه يا ام قدرات؟
i need guarantees contracts and money,عايزة ضمانات، عقود، فلوس
your talk about capabilities and sacrifices doesnt work for me,قدرات دي تخليهالك انتي، التضحية والكلام الفارغ بتاعك ده مبياكلش عيش معايا
you gave up a lot for your husband,انتي مش ضحيتي ياختي عشان جوزك سنين؟
you gave up on me,ضحيتي بكل حاجة حتي انا
what did you gain at the end,خدتي ايه في الاخر؟ ها؟
nothing,بومبة
here comes your silly son,الحقي ابنك لايص الحقي الحقي
darling,يا حبيبي
seven cups of black tea,سبعة شاي علي البوسطة
im sorry,انا اسفة
next time you wont find me,لو اتاخرتي تاني مش هتلاقيني
okay i had to run an errand with my son hes stuck with me,حاضر انا اسفة، بس عشان كان عندي حاجة مع ابني وملحقتش اوصله
not my problem,مش مشكلتي
hi im tarek zohni and you are,هاي، انا طارق ذهني، انت مين؟
salim,سليم
how are you selim,ازيك يا سليم؟
salim,سليم
salim yes,سليم ايوة
listen here,شوف بقي يا سيدي
this is a business meeting and you cant be here,الميعاد ده ميعاد شغل، مامي مكنش المفروض تجيبك معاها
youll walk behind us okay,فانت هتمشي ورانا
stay behind us,معلش خليك ورانا
i want to look around you carefully,عايزك تشوفي اللي حواليكي كويس جدا
check out the shops,بصي علي كل المحلات
details are important,كل التفاصيل مهمة
remember them well,عايزها تتحفر في دماغك، ها؟
good evening sir,مساء الفل يا راجل يا طيب
good evening its good to have you back mr tarek,يا مساء الجمال، حمد الله علي السلامة يا طارق بيه
how are you mr saeed,ازيك يا عم سعيد؟
god bless you son,يا رب يخليك يا حبيب قلبي
hello,السلام عليكم
youre wondering why i brought you here,طبعا بتسالي نفسك انا جايبك هنا ليه؟
a little,اه شوية
i have an important question for you,عندي سوال مهم عايزك تجاوبي عليه
what separates your clients from saeeds,ايه الفرق بين زباينك وبين زباين عم سعيد؟
knowing that saeed is cheaper and his clients are loyal,مع العلم، عم سعيد ارخص وزباينه مخلصين جدا له
the difference is that,لا، هو الفرق ان انا
the difference is that i my formulas are based on scientific research,الفرق طبعا ان انا بعمل الخلطات بطريقة علمية، مدروسة
ive studied the potency of each material and oil,يعني انا دارسة ال بتاعة كل مادة وكل زيت
if mr saeed,هو عم سعيد
the whole formula will be wasted if mr saeed adds more lemon more cinnamon and less yeast,عم سعيد لو زود شوية روح الليمون، لو زود شوية قرفة لو قلل شوية خميرة، ما هي كل ال هتبوظ كدا
theres also the reverse effect,وبعدين ممكن تعمل مفعول عكسي كمان
not all women have the time to come here to buy and mix oils,ومش كل الستات عندها الوقت انها تيجي هنا وتقعد تختار الزيوت وتخلط
very good,كويس جدا
im saving time,وانا بوفر وقت
youre selling to women who like science,هايل، يبقي زباينك ستات بتقدر العلم
they want organic stuff for them and their kids,عايزين مواد ليهم ولعيالهم
right,مش كدا؟
true,صح، اه
now you have to create a focus group,ال بتاعك بقي، انك تعملي مجموعة اختبار
dont include the women of your family,مش من خالتي وستي وطنطي وعمتي لا
create a group thats not related to you,تشوفي اكتر مجموعة لا انتي ليكي فيهم ولا هما ليهم فيكي
okay,كويس؟
well survey these women,دول اللي هناخد برايهم
i think i found them,اعتقد لقيتهم خلاص
have that done by our next meeting,الميعاد اللي جاي تكوني خلصتي ال
okay,اوكيه
think of a brand name,وتفكري في اسم ال بتاعك
a short one thats easy to remember in all languages,اسم يكون قصير كدا يتحفظ بكل اللغات
a name that has a unique ring to it,اسم اول ما الناس تسمعه تحس انه له خصوصية كدا
a unique ring okay,خصوصية اوكي خصوصية، اوكيه
what,ايه؟
whats wrong,في ايه؟
i like this color on you,حلو اللون ده عليكي اوي
its definitely your color,اوي ده لونك
you remind me of a phoenix,بتفكريني بال
of what,بالمين؟
a phoenix,طاير العنقاء
it dies and rises again from its ashes,اللي بيموت ويحيا من الرماد بتاعه
next time introduce me to your suppliers,اه المرة الجاية تعرفيني بال بتوعك
supplies,ال؟
yes where you get your raw materials,اه لازم نعرف مصدر المواد الخام بتاعتك
okay see you next time,اوكيه،
salim it was very nice meeting you,سليم،
salim look what you did to yourself,سليم بص عملت في نفسك ايه
what have you done,عملت ايه؟
whos that at this time,خير؟ مين اللي هيجي لنا دلوقت؟
ill get it mom,ماما، انا انا اللي هفتح
its nesrine,دي نسرين
whos nesrine,نسرين مين؟
nesrine,نسرين
your old friend,صاحبتك بتاعة زمان؟
yes,ايوة
that bore,ام دم تقيل اللي مبقبلهاش ي
oh gosh,ا بااي
shell hear you,ششش تسمعك
she looks crazy with her puffy hair,ده كفاية نكشتها يا شيخة دي شبه المجانين
god saves us,يا ساتر
hello dear,اهلا يا روحي
how are you,اهلا ازيك؟
how are you auntie,اهلا يا طنط ازاي حضرتك؟
how are you,ازيك يا روح طنط؟
im okay,الحمد لله
see her beautiful hair,قمر، شايفة شعرها حلو اوي؟
thank you,ميرسي
how are you,ايه الاخبار؟
good what,الحمد لله ايه؟
how are you dear,ازيك يا حبيبتي؟
im good,الحمد لله
good sorry were not dressed up its nighttime you know,الحمد ، معلش ان احنا بلبس البيت عشان الوقت ليل يعني
nesrine is my partner now,نسرين بقت شريكتي في المشروع يا ماما
really,بجد؟
yes,ايوة
congratulations,الف مبروك يا حبيبتي
good luck,ربنا يوفقكوا
were happy to have you,نورتي يا حبيبتي اهلا بيكي اهلا اهلا
hi auntie,اهلا طنط
come here,تعالي
im nadia,انا نادية
hi nadia but not auntie dont call me that,اهلا نادية بس مفيش طنط، طنط لما ينططوكي
when did you have this big girl,لحقتي تخلفي الشحطة دي امتي؟
im sue,اسمي سو
just so you know im cooler than you and your parents especially hisham,وعشان تبقي فاهمة بقي انا ا منك ومن اللي خلفوكي وخاصة هشام
whats my name,انا اسمي ايه؟
sue,سو
sue,سو
this house needs laughter,البيت ده كان ناقصه ضحك وفرفشة والله العظيم
this house needs a man,البيت ده محتاج راجل يلمه
im here,انا
you already know lemo,وده بقي ليمو انتي عارفاه
hey you selim,ازيك يا سليم؟
salim,سليم
salim,سليم
how are you salim,سليم ازيك يا سليم؟
salim,سليم
how can i help,طب عايزاني اساعدك في ايه؟
you brought me all the way to here,جيباني علي ملا وشي ليه؟
we need a name for the project,عايزين نلاقي اسم للمشروع ده
give us some names nadia,نادية قولي اقتراحاتك كدا
theres nefertem,في نفرتوم
what,مالك؟
who,مين؟
nefertem nefertem,نفرتوم نفرتوم
an ancient egyptian god who brought the dead to life by smelling a lotus,ده اله فرعوني كان بيرجع الارواح للحياة لما بيستنشقوا الزهور
that is exactly what well be doing,زي ما احنا عايزين نعمل بالظبط
yes,بالظبط
we give our first business a mans name,واحنا يوم ما نعمل مشروع نسميه علي اسم اله راجل؟
why a mans name,ليه يا علا راجل؟ ليه؟
true,صح
look for the names of goddesses,طيب ندور علي اسم الهة ستات
right now i dont have time for this,بس انا دلوقتي حالا انا مش فاضية
i have to prepare a big batch of face cream for the focus group,دلوقتي لازم اعمل كبير ل علشان بكرة ال
