EGY,ENG
‫مامي، بابي بيتصل.‬,"Mom, Dad is calling."
‫ألفين سلامة يا دكتور، ألف شكر.‬,"Thank you, Doc."
‫عايزاك يعني,
‫ربنا يكون في عونك. ,May God be with you. 
أنا عذرك والله.,I understand.
‫متقلقش. ,Don't worry. 
أنا عينك وودانك هنا.‬,You can rely on me.
‫إتكل على الله أنت.‬,You can go now.
‫عامل إيه؟‬,How are you?
‫الحمد لله. ,Fine.
أنا عايز أسوق.‬,I want to ride it.
‫تسوق إيه؟ ,What? 
أنت عايز أمك تموتني.‬,You're mom will kill me.
‫لا، أنا عايز أسوق.‬,I want to ride.
‫بص حط رجلك هنا بقى كدا.‬,Put your foot here.
‫بس أنت رجلك مش هتوصل أصلًا. ,Come on. You can't reach the pedal.
تسوق إيه؟‬,
‫لا على فكرة أهو.‬,I can reach it.
‫إنتي فاكرة يعني لما تطنشيني،‬ ‫مش هعرف آجي أشوفك؟‬,I'll always find a way to see you.
‫وحشتيني.‬,I miss you.
‫بفكر نروح ناكل مع بعض في حتة. ,Let's eat out. 
إيه رأيكم؟‬,What do you think?
‫لا، مينفعش.‬,No.
‫تيتة طبخة النهاردة ومش هتخلينا ناكل برة.‬,"Grandma cooked for us, and she won't be happy."
‫وبعدين ده ياخدك لوحدك ميخودناش كلنا.‬,We can't all fit on the bike.
‫ماشي يا لمضة.‬,"Fine, smartypants."
‫خلاص اعملوا حسابكوا هتباتوا عندي‬ ‫في الويك اند الجاي.‬,You'll be staying with me next weekend.
‫أوضنا جاهزة؟‬,Are our rooms ready?
‫لحق يجهزلكوا الأوض؟‬,Really! Does he have rooms for you already?
‫حلو.‬,Nice.
‫أول مرة يا نونو منبتش مع بعض‬ ‫في نفس البيت.‬,It's the first time we won't sleep under the same roof.
‫حلو. حلو.‬,Very well.
‫أسود ولا ولا بيج؟‬,Black or beige?
‫مامي، إنتي متأكدة إنك عايزة تحطي نفسك‬ ‫في الموقف ده؟‬,"Are you sure that's what you want, Mom?"
‫ما أنا مش هسيبله صحابي كمان.‬,I won't let him take my friends too.
‫محدش فيهم سأل عليكي ولا حتى عبرك.‬,No one bothered to call.
‫لما تكبري هتتعلمي تعذري الناس.‬,You'll learn to forgive when you get older.
‫يمكن محرجين.‬,Maybe they feel awkward.
‫أكيد. أكيد مش عارفين يتعاملوا بردو.‬,I'm sure they don't know what to do.
‫وحتى باباكي لازم تعذريه.‬,You have to forgive your dad as well.
‫عشان إنتي بنته،‬ ‫مش مراته ولا طليقته.‬,"You're his daughter, not his ex-wife."
‫نادية أنا عارفة‬ ‫إن إنتي لسه صغيرة على الكلام ده‬ ‫بس إنتي بردو سابقة سنك. إنتي فهماني.‬,"Nadia, you're too young to understand. But you're perceptive, and you get me."
‫هشام مسبناش كلنا.‬,Hisham didn't leave us all.
‫هشام سابني أنا بس.‬,Hisham left me.
‫أينعم أنا مبسوطة‬ ‫إن إنتي بتربيه شوية ,I'm happy you're teaching him a lesson.
سبيه يتعب.‬,
‫بس متطوليش، اوكيه؟‬,"But don't overdo it, okay?"
‫هو دا Ola's miracle cream؟‬,Is that Ola's miracle cream?
‫أيوة.‬,Yes.
‫آخر حتة فيه.‬,The last bit of it.
‫وبعدين أنا ملحقتش أجيبلهم هدية،‬ ‫فا هاخد ‫آخر batch عملته ليهم.‬,"I didn't have time to buy a gift, so I'll take the batch I did for them."
‫إيه رأيك تتسلي في الnew batch‬ ‫كدا وبالمرة تنقذيني أنا وزينة؟‬,"What about doing a new batch, and you'll be saving Zaina and me?"
‫صح.‬,Righ.
‫الacne cream.,Acne cream.
‫صح. عندك حق.‬,You're right.
‫أنا آسفة، والله أنا أتأخرت عليكوا.‬,I know I've been slack.
‫بس بجد مكنش ليا مزاج.‬,I wasn't in the mood.
‫شكلي حلو؟‬,Do I look nice?
‫بجد؟‬,Really?
مش أوفر؟,Not too much?
‫يا طارق، دي معمولالك مخصوص,"Tarek, this one was made for you."
علا، معلش بقا,
‫تسلم إيديكي.‬,Thank you.
‫والفراخ دي لازم تجربها.‬,You have to try the chicken.
‫نعمة.‬,Yes.
‫الباستا اللي بالسمك دي‬ ‫حلوة أوي. ,The pasta with fish is great. 
أجيبلك منها؟‬,Do you want some?
‫تحفة.‬,Great.
‫ما أنا بشرب.‬,I'm having a drink.
ميرسي,Thank you.
‫أخبارك إيه؟ ,How you've been?
عاملة إيه؟‬,
‫بقالي كتير ما شوفتكيش. ,I haven't seen you for a while.
شعرك طول.‬,Your hair grew.
‫بس برافو عليكي.‬,Well done.
‫برافو عليكي بجد إن إنتي جيتي.‬,Good for you that you came.
‫أنت متعرفش علا، صح؟‬,Do you know Ola?
‫علا مرات هشام. أووه.‬,"Ola, Hisham's wife."
‫قصدي كانت مرات هشام. ,Ex-wife.
معلش هتعود.‬,I'll get used to it.
‫طارق ذهني غني عن التعريف.‬,The famous Tarek Zohni.
‫كان زميل قديم في البنك. ,An ex-colleague at the bank.
‫دلوقتي بقى من أشهر ‬‫business coaches في الشرق الأوسط.‬,"Now, he's the best business coach in the Middle East."
‫دورلي، زوومي،‬ طيارة، كل الstart-ups دي,"Dwarley, Zoomi, Tayara, all those start-ups"
‫متغيرتيش أبدًا أبدًا.‬,You haven't changed one bit.
‫طول عمرك تحبي تبالغي.‬,You love to exaggerate.
‫أيوة يعني شوية.,A bit.
‫كل الstart-ups دي اشتغلت معاه.‬,They worked with him.
‫أهلًا يا علا.‬,"A pleasure, Ola."
‫أهلًا وسهلًا.‬,The pleasure is mine.
‫والله very impressive.,Very impressive.
‫طب ليه مبنشوفهوش كتير؟ ,We don't see much of him.
مبتعزميهوش ليه؟‬,You should invite him more.
‫أنا قاعد في دبي.‬,I'm based in Dubai.
‫أهو.‬,See.
‫يدوب جاي أشحن شوية وأرجع.‬,I'm here for a short vacation.
‫بصراحة واحشني أكل أمي.‬,I miss my mom's food.
‫وحشتني صحيح. ,I do miss her. 
ابقى سلّملي عليها أوي.‬,Send her my regards.
‫تعالي شوفيها.‬,Come and see her.
‫أكيد.‬,
‫وإنتي أخبارك إيه بقي يا علا؟‬,"How you've been, Ola?"
‫أنا تمام الحمد لله.‬,I'm fine.
‫البيت والعيال.‬,The house and the kids.
‫مفيش جديد.‬,Nothing new.
‫لا، في جديد.,Hey. There is.
إنتي النهاردة قولتيلي‬ ‫إنك هتشتغلي وعندك خطة.‬,You told me today that you're planning to work.
‫أه، صح.‬,True.
‫إيه هي؟‬,What's the plan?
‫الmiracle cream.,Miracle Cream.
‫صح!‬,Right!
‫صح! الmirecale cream.,Yes! Miracle cream!
‫الكريمات اللي إنتي بتجيبهالنا دي.‬,The creams you keep giving us?
‫أيوة.‬,Yes.
‫هتبعيها؟‬,Will you sell them?
‫أه، هبيعها.‬,Yes.
‫يعني شغلانة مش سهلة يا علا.‬,It's a challenging task.
‫يعني بيتهيألي عايزة حد شغيل ومتفرغ.‬,This business needs your full attention.
‫يعني مش بيتلكك بالعيال والظروف.‬,And you have your kids.
‫بس.‬,Stop.
‫إيه اللي بس؟‬,Why?
‫دمك تقيل.‬,You're being silly.
‫ياااه؟‬,Really?
‫دمك تقيل والله.‬,"Yes, silly."
‫ولا كأنك سمعتي حاجة.‬,Don't mind her.
‫تسمعي من هنا تخرج من هنا على طول.‬,Ignore what she said.
‫عارفة سها دي لو بيل جيتس كان سمعها‬ ‫قبل ما يعمل مايكروسوفت،‬ ‫كان زمانه بيبيع كبدة وسجق‬ ‫في شوارع نيويورك.‬,"If Bill Gates had listened to Soha before launching Microsoft, he'd be selling hot dogs on the streets of New York."
حلوة!,
‫لازم تحرجيها؟‬,You embarrassed her.
‫الأكل يجنن يا رنا.‬,"The food was excellent, Rana."
‫بالهنا والشفا يا طارق.‬,Glad you enjoyed it.
‫أنا مكلتش غير الجبنة.‬,I only ate cheese.
‫كل يوم من دا.‬,Always joking.
‫احكيلي عن الcosmatics الhomemade بتاعتك.‬,Tell me about your homemade cosmetics.
‫إيه اللي بيميزها عن السوق؟‬,What makes them unique?
‫ده بجد عايزني أحكي؟‬,Do you really want to know?
‫أيوة.‬,Yes.
اوكيه,Okay.
‫هو أنا أصلًا صيدلانية في الأساس يعني.‬,I majored in pharmacy.
‫بس لما خلفت بطلت شغل.‬,I stopped working when I had my first baby.
‫بنتي بقى كان عندها… بنتنا قصدي…‬ ‫كان عندها rashes واكزيما وهي صغيرة‬ . ,"My daughter had, our daughter, I mean, suffered from rashes and eczema. "
‫وجربنا كل حاجة مفيش حاجة نفعت.‬,"We tried everything, but nothing worked."
‫أنا كنت بتخض من الكchemicals اللي في الأدوية‬. ‫ومش عايزة أديها chemicals كدا وهي صغيرة.‬,I was against using chemicals on my baby daughter.
‫فقررت إن أنا أعمل وصفة فرعونية‬ ‫كنا درسناها في الجامعة.‬,"So, I tried an ancient Egyptian formula we studied at university."
‫نجحت. كانت سحر.‬,It worked like magic.
‫بقيت بقى بخلط حاجات‬ ‫وبحط حاجات على حاجات في البيت.‬ ,I started testing and mixing things at home.
‫وكل مرة النتيجة كانت بتبقى مذهلة، صح؟‬,"And the results were amazing, right?"
أيوة أنا فاكرة. ,"Yes, right."
‫أنا جربتها كذا مرة منها.‬,I tried it several times.
‫أنا المشروع ده في بالي من زمان على فكرة.‬,I've been thinking about it for a long time.
‫بس خلفت سليم بقى ونسيت.‬,"But then I had Salim, and I forgot about it."
‫دلوقتي أنا جاهزة.‬,"Now, I'm ready."
‫وأنا جاهز coach youأ وببلاش.‬,And I'm ready to coach you for free.
‫إيه؟‬,What?
‫بس أنا مبضيعش وقت.‬,We shouldn't waste time.
‫كفاية الوقت اللي ضيعتيه.‬,You've wasted enough time.
‫لا، بتتكلم بجد؟‬,Are you serious?
‫ده أنت فاضي بقى.‬,It seems like you have a lot of free time.
 ‫أقصد يعني المشاريع الصغيرة‬ ‫بتهتم بيها بسرعة.‬,"I mean, you get interested in small projects quickly."
‫ما هي المشاريع‬ ‫بتبتدي صغيرة دايمًا يا هشام بيه.‬,"Projects tend to start small, Mr. Hisham."
‫أنا لما ألاقي مشروع صغير أكبره.‬,My job is to make a small business grow.
‫ممكن تلج؟‬,Can I have some ice?
‫أه طبعًا.‬,Yes.
‫فظيع. ,
فظيع طارق ذهني يا جماعة.‬,"Tarek Zohni is really something, guys."
‫عنده كاريزما أقنعتني بالمشروع كدا‬ في تلات جمل.‬,He's charismatic. Convinced me in three sentences.
‫والله ما حد فظيع غيرك إنتي.‬,You're the special one.
‫اتنين من فضلك.‬,"Two, please."
أنها حقا عدالة السماء,Poetic justice at its finest.
ميرسي,Thank you.
‫تعالى يا حبيبي.‬,"Come here, sweetie."
‫في دكاترة بتدي أدوية لحالات الADHD. ,Some doctors prescribe drugs for ADHD. 
أنا مش مؤمن بده أوي.‬,I'm not a fan of that.
‫أه، ولا إحنا.‬,We're not either.
‫قصدي ولا أنا ولا أنا.‬,"I mean, neither am I."
‫plan B ‫هتبقى أصعب شوية. ,Plan B is more complex.
هكثف جلساتي معاه،‬ ‫وهشتغل على الـسي بي تي.‬,I'll increase the sessions. I'll work on CBT.
‫تمام.‬,Okay.
‫إيه هو الـسي بي تي ده؟‬,What is CBT?
‫يعني هو شايف إن العالم الافتراضي‬ ‫اللي بيعيشه أحسن من الواقع اللي متاح.‬ ,He believes that his virtual world is safer than reality. 
‫فعشان كدا أنا شايف إن إحنا محتاجين‬ ‫نرجع نحببه في الواقع من تاني.‬,We need to make him like his reality again.
‫بمعنى إنكم تشركوه في حياتكوا، مخاوفكوا.‬,Let him share in your lives and worries.
‫مش معنى إنكوا اتطلقتوا إنكم تبطلوا‬ ‫تشاركوا ولادكم في حاجات مهمة مع بعض.‬,Being divorced doesn't mean not sharing things with your kids.
‫مش متأخر شوية الكلام ده يا شريف؟‬,"It's too late for that, Sherif."
‫طب وموضوع الإنترنت؟‬,The internet?
‫هنقننه، هيبقى ساعتين في الأسبوع‬ ‫,He's allowed two hours a week.
لو الgrades حلوة‬ ‫هنزود كمان ساعة.‬,"If he gets good grades, add an hour."
‫وبحاجة متطلعش غير في الوقت المسموح به.‬,And only in the time allowed.
‫وإنتي بردو يا علا أنا شايف‬ ‫إن إنتي محتاجة تروحي تزوريه‬ ‫في بيت هشام الجديد،‬ ‫عشان تتعرفي على العالم الجديد بتاعه.‬,"Ola, you must visit him in Hisham's new house to get to know his new world."
‫عشان ميحسش إن أنت كمان هربت. ,So he won't think you've left him. 
‫عندكوا مانع في حاجة زي كدا؟‬,Is that okay?
‫أنا معنديش أي مانع طبعًا.‬,I don't mind.
‫هايل.‬,Great.
‫لا طبعًا. أنا عشان ابني أعمل أي حاجة.‬,I'd do anything for my son.
‫إيه دي إتش دي! ,ADHD.
‫ده اللي كان ناقصني.‬,Just what I needed.
‫وإنتي عارفة هو إيه ده أصلًا؟‬,Do you even know what it means?
‫يلا.,Go.
بس عد كويس ها.‬,Count carefully.
‫الحمد لله إني لا خلفت ولا بفكر أخلف.‬,Thank God I don't have kids.
‫إدمان مرة واحدة! يا حبيبي.‬,It's an addiction.
‫هي مش نقصاكي على فكرة يا نسرين.‬ ‫,I have enough on my plate. 
متأفوريش إنتي كمان.,Don't overdo it.
‫وسي هشام ده إن شاء الله‬ ‫مش بيشتغل دكتور نفساني ولا إيه؟‬,"Hisham is a psychiatrist, right?"
‫مخدش باله من الواد ليه؟‬,Why didn't he anticipate that?
‫مش عارفة. ‬,I don't know.
‫ما هو إحنا في البيت ده‬ ‫مكنش في حد مركز مع التاني‬,"As a couple, we each had our own way."
‫هو هشام عنده حق.‬,Hisham was right.
‫لا بقولك إيه بصيلي هنا.‬,Listen to me.
‫never ever في حياتك أبدًا أبدًا‬ ‫تقولي إن في راجل عنده حق. ,Don't you ever give credit to a man! 
فاهمة ولا لأ؟‬,Understood?
اوكي,Okay.
‫المهم أنا مكلمتكيش عشان كدا.‬,"Anyway, I called you for something else."
‫أنا عندي خبر حلو.‬,I have great news.
‫أيوة كدا. ,Now you're talking. 
قوليلي.‬,Tell me.
‫أنا قررت أبيع الكريمات‬ ‫اللي بعملها في البيت.‬,I decided to sell the creams I make at home.
‫أه أعمل منها business.‬,I'll make it a business.
‫احلفي.‬,No way.
‫أيوة، برافو. ,Well done.
دي أخبار تفرح.‬,That's great news.
‫طب وعندك business plan؟‬,Do you have a plan?
‫لا، لسه.‬,Not yet.
‫بس إمبارح قابلت واحد في العشا‬ ‫اسمه طارق ذهني.‬,"Yesterday, I met a Tarek Zohni at dinner."
‫ذهني. ,Zohni. 
وقالي إن هو هيساعدني.‬,He said he'd help me.
‫طارق ذهني؟‬,Tarek Zohni?
‫The طارق ذهني؟‬,The Tarek Zohni?
‫أيوة.‬,Yes.
‫ده تعرفيه منين ده ولا إزاي أصلًا؟‬,How do you know him?
‫إنتي تعرفيه؟ ,Do you know him?
هو معروف أوي كدا؟ ,
طب شاطر؟‬,Is he good?
‫أه طبعًا شاطر. ,"Yes, he is."
أنا عملاله follow ‫على كل حاجاته على الsocial media,I'm following him on social media.
‫بس إزاي ده كورساته غالية فشخ؟‬,His courses are very expensive.
‫لا غالية إيه؟ ده قالي إنه هيساعدني ببلاش.‬ ,He said he'd help me for free. 
‫هو انا حيلتي حاجة.‬,I can't pay him.
‫ببلاش. ,
طارق ذهني هيساعدك ببلاش؟‬,Tarek Zohni will help you for free?
أيوة,Yes
‫ده بيflirt بقى.‬,He's flirting with you.
‫وهشام كان حاضر كل اللي بيحصل ده‬ ‫وقاعد وشايف؟‬,Hisham witnessed all that?
‫يا خسارة,
ده أنا فاتني عشا جامد.‬,I missed an eventful dinner.
‫يا ريتني كنت معاكي!‬,I wish I was there.
‫طارق ذهني يflirt معايا‬,Why would he flirt with me?
‫أنا ليه؟ ليه؟ ,
إنتي شايف إيه يflirt معاه؟‬,What would he see in me?
‫بس يا بت يا هبلة إنتي. ,You're so stupid.
اه طبعا، يflirt ما يflirtش ليه؟‬,"Of course, he'd flirt with you."
‫ست حلوة، مطلقة، عندها عيال.‬,You're beautiful and divorced with kids.
 ‫يعني لا هتطلب جواز ولا خلفة ولا نيلة.  ,"So, you're not looking for marriage. "
‫هتتبسط وبس.‬,You just want fun.
‫ما يطلبش بقى يflirt ليه‬ ‫ولا ميتنيلش ليه؟ ليه؟‬,Why wouldn't he be flirty with you?
‫بقولك إيه يا بت يا نسرين.‬ ,"Listen, Nesrine. "
‫أنا واضح إن الsensor بتاعي‬ ‫اتركن لحد ما باظ خالص.‬,It seems I've lost my sensor completely.
‫أنا مش عارفة أحدد هو عايز مني إيه.‬,I can't tell what he wants.
‫كنت متلخبطة أوي إمبارح.‬,I was confused yesterday.
‫الساعة كام؟‬,What's the time?
‫لا أنا كدا هتأخر على أول ميعاد معاه.,I'll be late for our first meeting.s
‫أنا مش هلحق أوصل سليم.‬,I won't have the time to drop Salim.
‫لا، ممكن توصليه إنتي؟‬,Can you drop him?
‫لا.‬,No.
بليز,Please.
‫لا!‬,No.
‫ندلة أوي.‬,You're so mean.
‫بقولك إيه يا لولو. ,"Listen, Lulu. "
